,id,gender,masterCategory,subCategory,articleType,baseColour,season,year,usage,productDisplayName,image,filename
3147,22994,Men,Apparel,Loungewear and Nightwear,Lounge Pants,Charcoal,Summer,2016,Sports,2go Active Gear USA Men Charcoal Tiger Lounge Pants,http://assets.myntassets.com/v1/images/style/properties/551c5f86f2af641cec1beb807c10a6ac_images.jpg,22994.jpg
33572,32452,Men,Apparel,Bottomwear,Shorts,Black,Winter,2015,Sports,ADIDAS Men Black Shorts,http://assets.myntassets.com/v1/images/style/properties/Adidas-Men-Black-Shorts_6259e5f1f43ca5229e99de9b1db70a85_images.jpg,32452.jpg
7593,7441,Men,Apparel,Topwear,Tshirts,Grey,Summer,2011,Casual,Proline Men Grey Striped T-shirt,http://assets.myntassets.com/v1/images/style/properties/ada05b3d0730d478d98279442f693c43_images.jpg,7441.jpg
40356,2830,Men,Footwear,Shoes,Casual Shoes,Black,Summer,2012,Casual,Lee Cooper Men's Casual Canvas Black Shoe,http://assets.myntassets.com/v1/images/style/properties/2fd791d6f12f5f5a83f83a2714b12fc6_images.jpg,2830.jpg
39304,52499,Women,Apparel,Loungewear and Nightwear,Baby Dolls,Black,Summer,2017,Casual,Red Rose Women Black Nightdress,http://assets.myntassets.com/v1/images/style/properties/Red-Rose-Women-Black-Nightdress_c72a7dcb1507bb9580f33ebbe2212e13_images.jpg,52499.jpg
17996,18489,Men,Footwear,Sandal,Sandals,Black,Fall,2011,Casual,Puma Men Coupe Black Sandals,http://assets.myntassets.com/v1/images/style/properties/0e61380e85c397aff78e430dc5392439_images.jpg,18489.jpg
17212,23691,Unisex,Accessories,Wallets,Wallets,Black,Fall,2011,Casual,Newhide Black Unisex Travel Pouch Passport Holder,http://assets.myntassets.com/v1/images/style/properties/Newhide-Black-Unisex-Travel-Pouch-Passport-Holder6781f1a52473b0a8d6293d2b06118f83_images.jpg,23691.jpg
24335,35125,Women,Accessories,Jewellery,Pendant,Black,Summer,2012,Casual,Allen Solly Woman Black Pendant,http://assets.myntassets.com/v1/images/style/properties/0eecd6d152001d963a486b91f6f6abce_images.jpg,35125.jpg
42845,52893,Women,Apparel,Saree,Sarees,Red,Fall,2012,Ethnic,FNF Red Printed Sari,http://assets.myntassets.com/v1/images/style/properties/Fashion-N-Fabrics-Printed-Red-Sari_603a904be750ba19cf29b3e9de3b19ab_images.jpg,52893.jpg
40785,4937,Men,Apparel,Topwear,Tshirts,Grey,Summer,2011,Casual,Gini and Jony Boy's Kaden Grey Blue Kidswear,http://assets.myntassets.com/v1/images/style/properties/536e29a0d5579e3451c46df693ed72b2_images.jpg,4937.jpg
15497,19670,Women,Apparel,Topwear,Tshirts,Olive,Summer,2011,Casual,United Colors of Benetton Women Solid Olive T-shirt,http://assets.myntassets.com/v1/images/style/properties/6129b03649933e0225e0ad58577ada5e_images.jpg,19670.jpg
42288,59242,Men,Accessories,Watches,Watches,Black,Winter,2016,Casual,Titan Men Black Watch,http://assets.myntassets.com/v1/images/style/properties/Titan-Men-Black-Watch_f68685ca566fde702b6e75423652bec9_images.jpg,59242.jpg
2534,5664,Men,Apparel,Topwear,Tshirts,Blue,Summer,2011,Casual,Tantra Men's Shloka Blue T-shirt,http://assets.myntassets.com/v1/images/style/properties/28e594dc8ad5ee37f478a0adfda4278f_images.jpg,5664.jpg
4476,44783,Men,Footwear,Shoes,Sports Shoes,White,Summer,2012,Sports,Lotto Men White & Silver Sports Shoes,http://assets.myntassets.com/v1/images/style/properties/Lotto-Men-White---Silver-Sports-Shoes_fb12adf8cabe4187ee42e754cc1c322c_images.jpg,44783.jpg
23698,27889,Women,Apparel,Topwear,Shirts,Lavender,Summer,2012,Formal,Scullers For Her Lavender Shirt,http://assets.myntassets.com/v1/images/style/properties/Scullers-For-Her-Lavender-Shirt_62bf6f1a6b99c7aeda97d031500017df_images.jpg,27889.jpg
5520,24528,Men,Apparel,Topwear,Shirts,White,Fall,2011,Casual,Mother Earth Men White Shirt,http://assets.myntassets.com/v1/images/style/properties/338f183a1eaa68d0d179fed547b8988f_images.jpg,24528.jpg
4420,38033,Men,Accessories,Watches,Watches,Black,Winter,2016,Casual,Q&Q Men Black Watch,http://assets.myntassets.com/v1/images/style/properties/3a4fbf1e503104a027b59248f09dde48_images.jpg,38033.jpg
30887,56161,Women,Personal Care,Eyes,Kajal and Eyeliner,Brown,Spring,2017,Casual,Colorbar I-Glide Cocobar Eye Pencil 02,http://assets.myntassets.com/assets/images/56161/2019/1/11/5590f624-3955-4c49-bc6b-69a7c28d3d8d1547199698808-Colorbar-I-Glide-Cocobar-Eye-Pencil-02-7351547199698753-1.jpg,56161.jpg
21940,3976,Women,Apparel,Topwear,Tops,Cream,Summer,2011,Casual,Jealous 21 Women Cream Tunic With Mirror Print Top,http://assets.myntassets.com/v1/images/style/properties/1eccbdaefe3b3fb6cd4989673c15a261_images.jpg,3976.jpg
1224,37671,Unisex,Accessories,Bags,Backpacks,Black,Summer,2012,Casual,American Tourister Unisex Black Backpack,http://assets.myntassets.com/v1/images/style/properties/b2c641d4438a4c0ffd0caf2df4ddf307_images.jpg,37671.jpg
12612,28332,Men,Footwear,Sandal,Sandals,Black,Winter,2018,Casual,Red Tape Men Casual Black Sandals,http://assets.myntassets.com/v1/images/style/properties/d0b54de10522a3c403d72bafb28ffa53_images.jpg,28332.jpg
18228,10079,Unisex,Footwear,Sandal,Sandals,Black,Fall,2011,Casual,Reebok Unisex Twist Black Sandals,http://assets.myntassets.com/v1/images/style/properties/68be265f451f371dac65dc4f76a99f21_images.jpg,10079.jpg
24474,28656,Men,Footwear,Shoes,Sports Shoes,White,Summer,2012,Casual,Nike Men Air Quick Handle White Shoes,http://assets.myntassets.com/v1/images/style/properties/9334ff1939aca8f02e3d51c6b038754f_images.jpg,28656.jpg
20151,11336,Men,Apparel,Bottomwear,Jeans,Blue,Fall,2011,Casual,United Colors of Benetton Men Washed Blue Jeans,http://assets.myntassets.com/v1/images/style/properties/bd4961f422035f4af83f6849466c65e5_images.jpg,11336.jpg
13348,12864,Men,Footwear,Shoes,Casual Shoes,Black,Fall,2012,Casual,Lee Cooper Men Casual Black Shoes,http://assets.myntassets.com/v1/images/style/properties/3b82db3b56eea4a7adba20183e1c12d1_images.jpg,12864.jpg
40810,38012,Men,Accessories,Watches,Watches,Blue,Winter,2016,Casual,Q&Q Men Blue Dial Watch,http://assets.myntassets.com/v1/images/style/properties/c24e817e741202ecf9570dff598aef83_images.jpg,38012.jpg
41167,3124,Men,Apparel,Topwear,Tshirts,Blue,Summer,2011,Casual,Inkfruit Men's Soccer Power Blue T-shirt,http://assets.myntassets.com/v1/images/style/properties/24af9db50f4d8598016d3691646bd505_images.jpg,3124.jpg
4604,16334,Men,Apparel,Topwear,Shirts,Peach,Fall,2011,Formal,Peter England Men Stripes Peach Shirt,http://assets.myntassets.com/v1/images/style/properties/925efbb462051b037ae4680fb17f5f85_images.jpg,16334.jpg
6286,29808,Men,Apparel,Topwear,Shirts,Blue,Summer,2012,Casual,Basics Men Blue Checked Slim Fit Shirt,http://assets.myntassets.com/v1/images/style/properties/ea9be8fd010769e46586b724dc5645ab_images.jpg,29808.jpg
26790,47352,Women,Accessories,Bags,Handbags,Beige,Summer,2012,Casual,Baggit Women Beige Handbag,http://assets.myntassets.com/v1/images/style/properties/76222102fb6b392648a3ec123d5f2261_images.jpg,47352.jpg
15924,50447,Men,Apparel,Innerwear,Briefs,Black,Summer,2016,Casual,Chromozome Men Black Briefs,http://assets.myntassets.com/v1/images/style/properties/Chromozome-Men-Black-Briefs_ff6b1e51f9eaad3238f3310958bd355c_images.jpg,50447.jpg
1401,38209,Women,Accessories,Eyewear,Sunglasses,Silver,Winter,2016,Casual,Polaroid Women Sunglasses,http://assets.myntassets.com/v1/images/style/properties/5a601a45f6c220c22068fcac06f76a95_images.jpg,38209.jpg
38083,46923,Men,Personal Care,Fragrance,Perfume and Body Mist,Black,Spring,2017,Casual,York Men Dark Knight Perfume,http://assets.myntassets.com/v1/images/style/properties/41391e666d97492a4f2b0ad4f69ba5df_images.jpg,46923.jpg
1690,48989,Women,Accessories,Jewellery,Ring,Silver,Summer,2012,Casual,Lucera Women Silver Ring,http://assets.myntassets.com/v1/images/style/properties/Lucera-Women-Silver-Ring_c80c41c2e23410d0f3ea56f3a35d581a_images.jpg,48989.jpg
2169,4745,Men,Apparel,Topwear,Tshirts,Green,Summer,2011,Sports,ADIDAS Men's Green Polo T-shirt,http://assets.myntassets.com/v1/images/style/properties/c00babbea256a3569ff5644b73e5bc18_images.jpg,4745.jpg
15541,13524,Women,Apparel,Topwear,Tops,Purple,Fall,2011,Casual,Jealous 21 Women Solid Purple Tops,http://assets.myntassets.com/v1/images/style/properties/f20893f1200da46df7fa7ba8599150af_images.jpg,13524.jpg
1092,27870,Women,Apparel,Topwear,Shirts,White,Fall,2012,Smart Casual,Scullers For Her Women White Striped Shirt,http://assets.myntassets.com/v1/images/style/properties/Scullers-For-Her-Women-White-Striped-Shirt_b4833b5129730298114c075d80980d96_images.jpg,27870.jpg
34680,46784,Women,Personal Care,Fragrance,Perfume and Body Mist,Pink,Spring,2017,Casual,Love Passport A Bloom Women Perfume,http://assets.myntassets.com/v1/images/style/properties/23b6701091d2abf4470b3fae95d59745_images.jpg,46784.jpg
29756,39632,Men,Footwear,Shoes,Sports Shoes,Red,Summer,2012,Sports,Nike Men Air Max Courtballistec Red Sports Shoes,http://assets.myntassets.com/v1/images/style/properties/11617d11dc8add8fdb2eec889a3f9b33_images.jpg,39632.jpg
26393,26150,Men,Apparel,Bottomwear,Trousers,Grey,Summer,2012,Formal,John Miller Men Grey Trousers,http://assets.myntassets.com/v1/images/style/properties/06eb8cef6733051775eeb59e2853fbf1_images.jpg,26150.jpg
14220,17549,Men,Apparel,Topwear,Shirts,Grey,Fall,2011,Formal,Mark Taylor Men Grey & White Striped Shirt,http://assets.myntassets.com/v1/images/style/properties/85af45c0fdb31ac9c1427328a32a5b06_images.jpg,17549.jpg
2973,57137,Women,Apparel,Bottomwear,Trousers,Khaki,Summer,2012,Casual,Elle Women Khaki Trousers,http://assets.myntassets.com/v1/images/style/properties/Elle-Women-Khaki-Trousers_e9fc02c1c68b1394d92050e65a1158dc_images.jpg,57137.jpg
26764,41263,Men,Accessories,Wallets,Wallets,Black,Summer,2012,Casual,Arrow Men Black Wallet,http://assets.myntassets.com/v1/images/style/properties/96578e103ee7d1b8a227bf51fef2222f_images.jpg,41263.jpg
16105,48487,Women,Apparel,Topwear,Tops,White,Summer,2012,Casual,French Connection Women White Top,http://assets.myntassets.com/v1/images/style/properties/French-Connection-Women-White-Top_6e33e8f22655db6bd502d4ebb9d8b814_images.jpg,48487.jpg
25352,55854,Women,Personal Care,Nails,Nail Polish,Pink,Spring,2017,Casual,Colorbar Pro Pink Ice Nail Lacquer 020,http://assets.myntassets.com/assets/images/55854/2019/1/10/b896c5c9-c106-4935-a5a6-bff216f6525e1547123637638-Colorbar-Pro-Pink-Ice-Nail-Lacquer-020-2911547123637534-1.jpg,55854.jpg
5899,8462,Women,Apparel,Topwear,Tops,White,Fall,2011,Casual,Jealous 21 Women Jealous Cailyn White Top White Tops,http://assets.myntassets.com/v1/images/style/properties/1fe32f424e64f0237c57deddf2124757_images.jpg,8462.jpg
14398,14797,Women,Accessories,Bags,Handbags,Maroon,Summer,2011,Casual,United Colors of Benetton Women Solid Maroon Handbags,http://assets.myntassets.com/v1/images/style/properties/8052f9d253e742338c3c93e52add3477_images.jpg,14797.jpg
34174,55591,Men,Apparel,Topwear,Shirts,Black,Summer,2012,Casual,Peter England Men Black Shirt,http://assets.myntassets.com/v1/images/style/properties/Peter-England-Men-Black-Shirt_86a44a8be8023ab052082a60209edc2f_images.jpg,55591.jpg
19602,32185,Men,Footwear,Flip Flops,Flip Flops,Red,Fall,2012,Casual,ADIDAS Men Adi Surge Red Flip Flops,http://assets.myntassets.com/v1/images/style/properties/7babb0a5a7480bf051a85519f5948e1a_images.jpg,32185.jpg
35804,12496,Women,Apparel,Topwear,Tshirts,Grey,Fall,2011,Casual,United Colors of Benetton Women Short Grey T-shirt,http://assets.myntassets.com/v1/images/style/properties/0b76de4568b6c7739dd60c376493e491_images.jpg,12496.jpg
26635,21729,Women,Footwear,Flip Flops,Flip Flops,Orange,Fall,2010,Casual,ADIDAS Women Dota and Stripes Orange Flip Flops,http://assets.myntassets.com/v1/images/style/properties/d939c85be1f809155a36b8da9096877c_images.jpg,21729.jpg
39893,9443,Unisex,Accessories,Bags,Backpacks,Black,Summer,2012,Casual,Nike Unisex Black Backpacks,http://assets.myntassets.com/v1/images/style/properties/e24da3ac285b3d5ac7104ab0fb7ed595_images.jpg,9443.jpg
14264,52981,Women,Apparel,Saree,Sarees,Green,Fall,2012,Ethnic,FNF Green Printed Sari,http://assets.myntassets.com/v1/images/style/properties/Fashion-N-Fabrics-Printed-Green-Sari_6b877b3f4910487205aab6526c5d67cf_images.jpg,52981.jpg
26583,28650,Men,Footwear,Shoes,Sports Shoes,White,Summer,2012,Sports,Nike Men Dual Fusion White Sports Shoes,http://assets.myntassets.com/v1/images/style/properties/22f90ca7fb9ba90132c610ccf8126809_images.jpg,28650.jpg
17705,21900,Women,Apparel,Topwear,Kurtas,Blue,Fall,2011,Ethnic,BIBA Women Printed Blue Kurta,http://assets.myntassets.com/v1/images/style/properties/6be8e45fc6028f77bcf333228338635d_images.jpg,21900.jpg
27725,56363,Men,Personal Care,Fragrance,Perfume and Body Mist,Blue,Spring,2017,Casual,Tommy Hilfiger Men 100 ml Perfume,http://assets.myntassets.com/v1/images/style/properties/Tommy-Hilfiger-Men-100-ml-Perfume_973efa88a5c2a6f76219f0847bbc021b_images.jpg,56363.jpg
26388,10432,Men,Apparel,Topwear,Shirts,Blue,Fall,2011,Casual,Flying Machine Men Ydc Blue Shirts,http://assets.myntassets.com/v1/images/style/properties/620c327fb336550ad0b59c3e82c7c842_images.jpg,10432.jpg
35875,33120,Women,Footwear,Shoes,Heels,Silver,Winter,2015,Casual,Catwalk Women Silver Heels,http://assets.myntassets.com/v1/images/style/properties/fe3abcef04451d7de4f7613e3a961ce6_images.jpg,33120.jpg
10993,21805,Men,Accessories,Wallets,Wallets,Black,Winter,2016,Casual,Fossil Men Walter Traveller Black Wallet,http://assets.myntassets.com/v1/images/style/properties/81c8aed0a8e241f5c91e0d63e98ee189_images.jpg,21805.jpg
4112,27282,Women,Apparel,Topwear,Kurtas,Blue,Fall,2011,Ethnic,Mother Earth Women Blue Kurta,http://assets.myntassets.com/v1/images/style/properties/27492d6958234aee9b9269644856335b_images.jpg,27282.jpg
27937,36281,Women,Apparel,Loungewear and Nightwear,Night suits,Blue,Summer,2017,Casual,SDL by Sweet Dreams Women Blue Night suits,http://assets.myntassets.com/v1/images/style/properties/c5e6223e6bf5e1fd54f684524c15442a_images.jpg,36281.jpg
35360,29288,Men,Apparel,Topwear,Shirts,Black,Summer,2012,Casual,Wrangler Men Griffith Black Shirt,http://assets.myntassets.com/v1/images/style/properties/5a2d9ffaf35d6c97c8cfa9741f9cbb10_images.jpg,29288.jpg
10788,51143,Men,Accessories,Socks,Socks,White,Summer,2016,Casual,Parx Men White Socks,http://assets.myntassets.com/v1/images/style/properties/0d33b1c23243936c837672d5ac703c84_images.jpg,51143.jpg
3942,5631,Unisex,Footwear,Flip Flops,Flip Flops,Yellow,Summer,2011,Casual,ADIDAS Unisex Adi Liner Yellow Flip Flop,http://assets.myntassets.com/v1/images/style/properties/e815659e36ea3eef4997ac2c7f104d01_images.jpg,5631.jpg
43832,6698,Men,Apparel,Topwear,Tshirts,Pink,Summer,2011,Casual,UCB Men's Polo Neck Logo At Chest Pink T-shirt,http://assets.myntassets.com/v1/images/style/properties/1886ba3f3f1a0f0d6ddbdcf97fa51a2f_images.jpg,6698.jpg
31572,44839,Men,Apparel,Topwear,Tshirts,Black,Summer,2012,Casual,Puma Men Black & Green T-shirt,http://assets.myntassets.com/v1/images/style/properties/55f88266d78c3c2ae253be42197502f7_images.jpg,44839.jpg
22252,21112,Women,Apparel,Topwear,Tops,White,Fall,2011,Casual,s.Oliver Women White Top,http://assets.myntassets.com/v1/images/style/properties/b2713e1492b9212c24c8ff1cfc8e75cd_images.jpg,21112.jpg
21691,24078,Women,Footwear,Shoes,Heels,Black,Winter,2015,Casual,productDisplayName,http://assets.myntassets.com/v1/images/style/properties/3172147ade04098cf75a2b106735ca63_images.jpg,24078.jpg
32795,46991,Women,Apparel,Topwear,Kurtas,Green,Fall,2012,Ethnic,Shree Women Green & Maroon  Embroidered Kurta,http://assets.myntassets.com/v1/images/style/properties/6d65d2e4e06a0a2e7c9faf9e63f97974_images.jpg,46991.jpg
13561,45363,Women,Footwear,Shoes,Heels,Beige,Summer,2016,Casual,Cobblerz Women Beige Sandals,http://assets.myntassets.com/v1/images/style/properties/54ab2cd5732349429e663ad2608215f1_images.jpg,45363.jpg
8678,16278,Men,Apparel,Topwear,Sweatshirts,Grey,Fall,2011,Casual,Pink Floyd Men Pink Floyd Grey Sweatshirts,http://assets.myntassets.com/v1/images/style/properties/d7dc054c09ab9a525729136342f8e5cc_images.jpg,16278.jpg
36525,38194,Men,Accessories,Eyewear,Sunglasses,Black,Winter,2016,Casual,Polaroid Men Sunglasses,http://assets.myntassets.com/v1/images/style/properties/95104be77090dbe84d91f4410471b3f8_images.jpg,38194.jpg
6244,19655,Women,Apparel,Topwear,Tshirts,Grey,Summer,2011,Casual,United Colors of Benetton Women Printed Grey TShirt,http://assets.myntassets.com/v1/images/style/properties/a8c714c7f54bbdbc958f9c82bebde42c_images.jpg,19655.jpg
9070,10724,Women,Accessories,Bags,Handbags,Black,Winter,2015,Casual,Murcia Women Black Black Handbags,http://assets.myntassets.com/v1/images/style/properties/5f1b513183e1ff2f9ae501ba591a31ae_images.jpg,10724.jpg
17689,38475,Women,Accessories,Wallets,Wallets,Red,Summer,2012,Casual,Baggit Women Red Wallet,http://assets.myntassets.com/v1/images/style/properties/a12bf3178a1c1345393a6d17424e7b5d_images.jpg,38475.jpg
17959,24287,Men,Apparel,Topwear,Sweatshirts,Grey,Summer,2012,Casual,Quiksilver Men Grey Sweatshirt,http://assets.myntassets.com/v1/images/style/properties/19713de9c5e82bc4903cc441297c263c_images.jpg,24287.jpg
30041,1982,Women,Apparel,Bottomwear,Shorts,Purple,Fall,2010,Casual,Puma Women's Island Shorts Purple,http://assets.myntassets.com/v1/images/style/properties/6e6eefdd9ab02e45240f79afaffca707_images.jpg,1982.jpg
15904,14161,Men,Accessories,Cufflinks,Cufflinks,Steel,Fall,2011,Formal,Belmonte Men Textured Steel Cufflinks,http://assets.myntassets.com/v1/images/style/properties/Belmonte-Men-Textured-Steel-Cufflinks_23f5715d7520c7682652299ee2393d2d_images.jpg,14161.jpg
27951,26477,Men,Apparel,Topwear,Tshirts,White,Summer,2012,Casual,Puma Men Graphic White T-shirt,http://assets.myntassets.com/v1/images/style/properties/4be984e5533f52fd3c0fed89cf71af52_images.jpg,26477.jpg
15244,23514,Men,Accessories,Watches,Watches,Black,Winter,2016,Casual,ADIDAS Men Black Dial Watch,http://assets.myntassets.com/v1/images/style/properties/Adidas-Men-Black-Dial-Watch_f69c0a89101350e179a4ea41078dcd8e_images.jpg,23514.jpg
7457,55976,Women,Personal Care,Lips,Lipstick,Pink,Summer,2019,Casual,Colorbar Velvet Matte Secretly Pink Lipstick 62P,http://assets.myntassets.com/assets/images/55976/2019/1/11/98f78695-1a48-44bb-8ba9-3986e39608fe1547190040845-Colorbar-Velvet-Matte-Secretly-Pink-Lipstick-62P-86715471900-1.jpg,55976.jpg
9289,5149,Women,Apparel,Topwear,Tshirts,White,Summer,2011,Casual,Wrangler Women's Sequin White T-shirt,http://assets.myntassets.com/v1/images/style/properties/f958429d863199f96ce193703b42f69f_images.jpg,5149.jpg
23805,4940,Men,Apparel,Bottomwear,Jeans,Blue,Summer,2011,Casual,Gini and Jony Boys Karnel Jeans,http://assets.myntassets.com/v1/images/style/properties/a47c5c43828c1ad588ead2c32acca11e_images.jpg,4940.jpg
27144,44185,Women,Personal Care,Fragrance,Perfume and Body Mist,White,Spring,2017,Casual,Nike Fragrances Women Beyond Elements Perfume 150 ml,http://assets.myntassets.com/v1/images/style/properties/5bcc23fa2a7bc9aec2ba1ad67025dbbb_images.jpg,44185.jpg
