,id,gender,masterCategory,subCategory,articleType,baseColour,season,year,usage,productDisplayName,image,filename,price
4197,16101,Women,Accessories,Eyewear,Sunglasses,Brown,Winter,2016,Casual,M tv Women My Fab Eyewear Brown Sunglasses,http://assets.myntassets.com/v1/images/style/properties/baa0db79ff1584d4fbc28f92674ac323_images.jpg,16101.jpg,75.0
6610,39255,Men,Footwear,Shoes,Formal Shoes,Black,Winter,2018,Formal,Red Chief Men Black Formal Shoes,http://assets.myntassets.com/v1/images/style/properties/3db8c0c1114ae9ef30dafd53b9ecc682_images.jpg,39255.jpg,195.0
7895,1917,Men,Footwear,Shoes,Casual Shoes,White,Fall,2010,Casual,Puma Men White Sneakers,http://assets.myntassets.com/v1/images/style/properties/6203a6002bee04a6fb12140d4d8ece45_images.jpg,1917.jpg,135.0
3368,21382,Men,Apparel,Bottomwear,Shorts,White,Fall,2011,Casual,Manchester United Men Solid White Shorts,http://assets.myntassets.com/v1/images/style/properties/432f00e8e9cd2ca76c210b8a50dc785e_images.jpg,21382.jpg,225.0
4340,27679,Women,Accessories,Bags,Handbags,Brown,Winter,2015,Casual,Murcia Women Brown Handbag,http://assets.myntassets.com/v1/images/style/properties/dce5fa3c324d8d64a8aec9427069d43c_images.jpg,27679.jpg,150.0
1453,18864,Men,Apparel,Topwear,Sweatshirts,Black,Fall,2011,Casual,Puma Men Sports Division Black Sweatshirt,http://assets.myntassets.com/v1/images/style/properties/6a6f15d767037a3cd81da733a7eddfdf_images.jpg,18864.jpg,195.0
1623,30269,Men,Accessories,Eyewear,Sunglasses,Brown,Summer,2017,Casual,Speedo Men Sheet Sunglasses,http://assets.myntassets.com/v1/images/style/properties/47bcbb24bd8b2e066437d691f2bfd139_images.jpg,30269.jpg,210.0
2264,23489,Men,Footwear,Shoes,Sports Shoes,Black,Fall,2011,Sports,FILA Men Forza 11 Black Sports Shoes,http://assets.myntassets.com/v1/images/style/properties/8a6a6a780165d16b0371e34f63f6b23f_images.jpg,23489.jpg,215.0
4631,22565,Women,Accessories,Bags,Handbags,Purple,Winter,2015,Casual,Lino Perros Purple Women Casual Sling Bag,http://assets.myntassets.com/v1/images/style/properties/9dc6f9e60d778f19e5e194a69be94546_images.jpg,22565.jpg,70.0
1651,28898,Women,Apparel,Innerwear,Briefs,Red,Summer,2014,Casual,Enamor Women Red Brief,http://assets.myntassets.com/v1/images/style/properties/9dadf096271bea103174fff5a02bc649_images.jpg,28898.jpg,75.0
7890,43489,Men,Apparel,Bottomwear,Jeans,Black,Summer,2012,Casual,French Connection Men Black Jeans,http://assets.myntassets.com/v1/images/style/properties/9e539f4fa57cfd97e48e0f5493a46151_images.jpg,43489.jpg,115.0
7264,14121,Men,Apparel,Bottomwear,Jeans,Blue,Winter,2016,Casual,Flying Machine Washed Blue Jeans,http://assets.myntassets.com/v1/images/style/properties/93351ef3dc3737d7495280c6187aa87a_images.jpg,14121.jpg,155.0
5575,44861,Men,Apparel,Topwear,Tshirts,Green,Summer,2012,Casual,Puma Men Green T-shirt,http://assets.myntassets.com/v1/images/style/properties/1d4218ef92e306d8717ac1cd77fc40f8_images.jpg,44861.jpg,65.0
6057,38389,Unisex,Apparel,Topwear,Tshirts,Blue,Summer,2012,Sports,ADIDAS Mumbai Indians Kids Unisex Blue Match Jersey,http://assets.myntassets.com/v1/images/style/properties/cdbae9acd2b60338025f3e17bc8647ff_images.jpg,38389.jpg,145.0
1333,31324,Women,Apparel,Topwear,Kurtas,Blue,Summer,2012,Ethnic,Aurelia Women Printed Blue Kurta,http://assets.myntassets.com/v1/images/style/properties/664f46a2b85add0ac8b3f83d91eaeea9_images.jpg,31324.jpg,85.0
5590,29495,Women,Accessories,Watches,Watches,Blue,Winter,2016,Casual,Giordano Women Chronograph Blue Dial Watch,http://assets.myntassets.com/v1/images/style/properties/2aea742c136f9ad330894fd0cd720cd1_images.jpg,29495.jpg,35.0
9449,20370,Men,Apparel,Topwear,Shirts,White,Summer,2011,Casual,United Colors of Benetton Men Self Stripes White Shirt,http://assets.myntassets.com/v1/images/style/properties/032a6c67e5b848f1debb5a022a594745_images.jpg,20370.jpg,145.0
2500,44771,Men,Footwear,Shoes,Casual Shoes,Grey,Summer,2012,Casual,Globalite Men Navy Blue Skid Shoes,http://assets.myntassets.com/v1/images/style/properties/07305f0c9d358c32b52a1d3715787121_images.jpg,44771.jpg,135.0
5686,41180,Women,Apparel,Topwear,Tshirts,Orange,Summer,2012,Casual,Allen Solly Woman Check Brown Shirt,http://assets.myntassets.com/v1/images/style/properties/ea4a17f92eef68e52afdc8fec0e59538_images.jpg,41180.jpg,145.0
6030,41725,Women,Footwear,Shoes,Heels,Red,Winter,2012,Casual,Catwalk Women Red Heels,http://assets.myntassets.com/v1/images/style/properties/3b485ae61d69558a1e5caca0a524c44d_images.jpg,41725.jpg,25.0
174,6425,Unisex,Footwear,Shoes,Casual Shoes,Black,Summer,2011,Casual,Lotto Unisex Canvas Black Check Shoe,http://assets.myntassets.com/v1/images/style/properties/ef0e264ebd347265da9fcf1bdff4b2f5_images.jpg,6425.jpg,215.0
9098,42531,Women,Apparel,Topwear,Kurtis,White,Summer,2012,Ethnic,Mother Earth Women White Kurti,http://assets.myntassets.com/v1/images/style/properties/0529f8bd00135f86d836e335d62ef4f2_images.jpg,42531.jpg,195.0
2491,56072,Women,Personal Care,Lips,Lip Liner,Brown,Spring,2017,Casual,Colorbar Wild Berry Lip Liner /Crayon 011,http://assets.myntassets.com/assets/images/56072/2019/1/11/4080ff8f-3c67-4c7e-8b84-0fb2f92800aa1547191776142-Colorbar-Wild-Berry-Lip-Liner-Crayon-011-2661547191776031-1.jpg,56072.jpg,200.0
1020,21145,Women,Apparel,Topwear,Shirts,Black,Fall,2011,Casual,s.Oliver Women Printed Black Shirt,http://assets.myntassets.com/v1/images/style/properties/9795ab6d300c035f12502e418a8522fe_images.jpg,21145.jpg,205.0
7601,8409,Men,Apparel,Topwear,Tshirts,Blue,Fall,2011,Sports,ADIDAS Men Torment S/L Blue T-Shirts,http://assets.myntassets.com/v1/images/style/properties/8c2b1da37824ea2ab59c79f59aeba4bf_images.jpg,8409.jpg,195.0
4037,23246,Men,Footwear,Shoes,Formal Shoes,Black,Fall,2011,Formal,Arrow Men Formal Black Shoe,http://assets.myntassets.com/v1/images/style/properties/af8087a06f0c9ab02a37e22c4cae5dc7_images.jpg,23246.jpg,180.0
8960,23961,Men,Apparel,Topwear,Shirts,White,Fall,2011,Casual,Provogue Men Printed White Shirt,http://assets.myntassets.com/v1/images/style/properties/14565184c617b62b88e0648b6ccf1fe3_images.jpg,23961.jpg,35.0
4714,30259,Men,Footwear,Shoes,Casual Shoes,Navy Blue,Winter,2018,Casual,Red Tape Men Navy Blue Shoes,http://assets.myntassets.com/v1/images/style/properties/8a791850c1df8128183eb59f7fedabe0_images.jpg,30259.jpg,85.0
6912,4665,Unisex,Accessories,Watches,Watches,Black,Winter,2016,Sports,ADIDAS Unisex Peachtree Digital Black Watch,http://assets.myntassets.com/v1/images/style/properties/9ce8e4c6b7ab6ca2166156bf56a50aaf_images.jpg,4665.jpg,205.0
2807,3997,Men,Footwear,Flip Flops,Flip Flops,Grey,Winter,2011,Casual,Spalding Men Grey & Orange Flip Flops,http://assets.myntassets.com/v1/images/style/properties/Spalding-Mens-Grey-Orange-Flip-Flop_141aff465eecd916173f9e1dcafdddc2_images.jpg,3997.jpg,95.0
1746,30097,Men,Accessories,Watches,Watches,Black,Winter,2016,Casual,Ed Hardy Men Black Dial Watch,http://assets.myntassets.com/v1/images/style/properties/Ed-Hardy-Men-Black-Dial-Watch_84ef7a33f80634c132d0cea5d835ec41_images.jpg,30097.jpg,205.0
2398,30604,Men,Apparel,Bottomwear,Track Pants,Black,Summer,2012,Casual,Nike Men Classic Jersey Black Track Pants,http://assets.myntassets.com/v1/images/style/properties/a44207fe5c682340c691d0090ebc4a9c_images.jpg,30604.jpg,225.0
814,9463,Men,Apparel,Topwear,Shirts,White,Fall,2011,Formal,John Miller Men White Shirt,http://assets.myntassets.com/v1/images/style/properties/d072eb974267faa980a5b503b57ffe29_images.jpg,9463.jpg,155.0
5782,52751,Women,Personal Care,Fragrance,Deodorant,Pink,Spring,2017,Casual,Reebok Women Reebounce Deo,http://assets.myntassets.com/v1/images/style/properties/5872cb6896f469e31bf69183ec7257e7_images.jpg,52751.jpg,30.0
2044,59662,Women,Apparel,Saree,Sarees,Multi,Fall,2012,Ethnic,FNF Multi Colour Evening Wear Sari,http://assets.myntassets.com/v1/images/style/properties/FNF-Multicoloured-Sari_4ce68e5b4a7fb446e1e155f1b8c8a0a1_images.jpg,59662.jpg,25.0
9497,19830,Men,Apparel,Topwear,Shirts,Navy Blue,Fall,2011,Casual,U.S. Polo Assn. Men Check Navy Blue Shirt,http://assets.myntassets.com/v1/images/style/properties/39c88f00d2256a204cc450e8e81e92b8_images.jpg,19830.jpg,155.0
5094,54188,Men,Apparel,Innerwear,Briefs,Blue,Summer,2016,Casual,Jockey MC Men Blue Pack of 2 Briefs 8003,http://assets.myntassets.com/v1/images/style/properties/Jockey-Men-Blue-Pack-of-2-Briefs_26070600a2a9365b49ddfe147a5889a5_images.jpg,54188.jpg,95.0
3409,31574,Men,Apparel,Topwear,Tshirts,Beige,Summer,2012,Casual,Mark Taylor Men Printed Beige T-shirt,http://assets.myntassets.com/v1/images/style/properties/80edf1fc46f0366dda56981317a658dc_images.jpg,31574.jpg,120.0
8727,24371,Women,Apparel,Topwear,Kurtas,Maroon,Fall,2011,Ethnic,Folklore Women Maroon Printed Kurta,http://assets.myntassets.com/v1/images/style/properties/88ce25354889a12108665f2f185ec00e_images.jpg,24371.jpg,150.0
2022,57992,Women,Apparel,Topwear,Shirts,Purple,Fall,2012,Casual,Latin Quarters Women Purple Shirt,http://assets.myntassets.com/v1/images/style/properties/Latin-Quarters-Women-Purple-Dress_4aeecefe97a1247231b97e88683d4fc0_images.jpg,57992.jpg,200.0
5341,23224,Women,Apparel,Topwear,Kurtas,Cream,Fall,2011,Ethnic,Aneri Women Desire Cream Kurta,http://assets.myntassets.com/v1/images/style/properties/d88d907d9102a90fbfdea6eb0022534a_images.jpg,23224.jpg,45.0
94,11940,Men,Footwear,Sandal,Sandals,Black,Summer,2011,Casual,Ganuchi Men Casual Black Sandals,http://assets.myntassets.com/v1/images/style/properties/b23f1e70aec0102c360fb9dfdc476023_images.jpg,11940.jpg,185.0
7292,15497,Women,Footwear,Shoes,Heels,Black,Winter,2012,Formal,Carlton London Women Casual Black Heels,http://assets.myntassets.com/v1/images/style/properties/c274c96e73c8e0deacd978b1880debe3_images.jpg,15497.jpg,35.0
3176,29786,Men,Apparel,Topwear,Tshirts,Green,Summer,2013,Casual,Basics Men Green Polo T-shirt,http://assets.myntassets.com/v1/images/style/properties/3a9e687c8b4513c5d1d125ecf209cde3_images.jpg,29786.jpg,225.0
6338,11407,Women,Apparel,Topwear,Shirts,Purple,Fall,2011,Casual,United Colors of Benetton Women  Winter Purple Shirt,http://assets.myntassets.com/v1/images/style/properties/5c40f179940aa3665707c6a54c2855ce_images.jpg,11407.jpg,120.0
396,39523,Unisex,Accessories,Bags,Trolley Bag,Black,Summer,2012,Casual,Peter England Unisex Black One Dayer Black Trolley Bag,http://assets.myntassets.com/v1/images/style/properties/2bbf55264e3e2ae8ed8763435341fb9e_images.jpg,39523.jpg,155.0
9037,8463,Women,Apparel,Topwear,Tops,Pink,Fall,2011,Casual,Jealous 21 Women Jealous Paiva Pink Tops,http://assets.myntassets.com/v1/images/style/properties/ef91444af898d73ee81525248d05fa12_images.jpg,8463.jpg,215.0
8862,49927,Women,Apparel,Saree,Sarees,Beige,Fall,2012,Ethnic,Fabindia Beige Hand Printed Sari,http://assets.myntassets.com/v1/images/style/properties/Fabindia-Women-Printed-Beige-Sari_4b87f3e92591e7f1f09683a32a1fbeea_images.jpg,49927.jpg,130.0
1597,35971,Men,Apparel,Topwear,Tshirts,Black,Summer,2012,Casual,Flying Machine Men Tee Black T-shirt,http://assets.myntassets.com/v1/images/style/properties/770dfb6b5b976390929b68c0522b46e9_images.jpg,35971.jpg,225.0
8498,21260,Unisex,Accessories,Bags,Backpacks,Brown,Fall,2011,Casual,Skybags Unisex Brown Backpack,http://assets.myntassets.com/v1/images/style/properties/74f159bd3f8fcf3367b6d5c3996f2344_images.jpg,21260.jpg,30.0
962,48549,Women,Accessories,Belts,Belts,Black,Summer,2012,Casual,Wrangler Women Black Belt,http://assets.myntassets.com/v1/images/style/properties/c67ec1fde92718785bad116cf8711640_images.jpg,48549.jpg,55.0
1123,6880,Women,Apparel,Topwear,Jackets,Black,Summer,2011,Casual,Forever New Women Long Black Jacket,http://assets.myntassets.com/v1/images/style/properties/dc32ed33c6d783860dc7b5e9f992c812_images.jpg,6880.jpg,75.0
310,11371,Men,Apparel,Topwear,Shirts,Black,Fall,2011,Casual,United Colors Of Benetton Men Summer Black Shirts,http://assets.myntassets.com/v1/images/style/properties/79e693b484848f12265b4dd4a155fae9_images.jpg,11371.jpg,190.0
7973,51174,Men,Accessories,Socks,Socks,Brown,Summer,2016,Casual,Raymond Men Brown Socks,http://assets.myntassets.com/v1/images/style/properties/3a3abd44613cf0d13aa19b71abfc5e87_images.jpg,51174.jpg,130.0
8673,16876,Men,Accessories,Eyewear,Sunglasses,Brown,Winter,2016,Casual,Idee Men Funky Eyewear Brown Sunglasses,http://assets.myntassets.com/v1/images/style/properties/IDEE-Men-Funky-Eyewear-Brown-Sunglasses0e198b39e5db38518fd3434fccabf4f3_images.jpg,16876.jpg,225.0
4758,48185,Women,Accessories,Bags,Handbags,Beige,Winter,2016,Casual,Fossil Women Beige Maddox Handbag,http://assets.myntassets.com/v1/images/style/properties/53496d28e959f572950a4b4e07752bc0_images.jpg,48185.jpg,105.0
7244,31868,Women,Accessories,Watches,Watches,Gold,Winter,2016,Casual,Titan Women Raga Mother Of Pearl Dial Watch,http://assets.myntassets.com/v1/images/style/properties/fe8b9a79ec97b60257b474cf3efc1004_images.jpg,31868.jpg,135.0
7968,11496,Women,Footwear,Shoes,Heels,Grey,Winter,2015,Casual,Catwalk Women Gun Metal Grey Flats,http://assets.myntassets.com/v1/images/style/properties/e4bc991e4a9ef7eeba0edef5db44751f_images.jpg,11496.jpg,185.0
7468,14922,Men,Apparel,Topwear,Tshirts,Blue,Fall,2011,Casual,Mr. Men Men Sleep Placid Blue Tshirts,http://assets.myntassets.com/v1/images/style/properties/6265edb23795d793680271391cf674af_images.jpg,14922.jpg,155.0
1568,33427,Women,Accessories,Bags,Handbags,Blue,Summer,2012,Casual,Baggit Women Modishx Enzyme Blue Sling Bag,http://assets.myntassets.com/v1/images/style/properties/0f7ff70319f7cca8fd4139f322afdbda_images.jpg,33427.jpg,195.0
3337,19548,Men,Apparel,Topwear,Sweatshirts,Purple,Fall,2011,Casual,United Colors of Benetton Men Solid Purple Sweatshirt,http://assets.myntassets.com/v1/images/style/properties/2e018d79d71d47cc0d6bdc8d7c04e284_images.jpg,19548.jpg,135.0
2117,44544,Men,Footwear,Sandal,Sandals,Black,Summer,2012,Casual,Coolers Men Black Sandals,http://assets.myntassets.com/v1/images/style/properties/a534fc3afe0802b1a9d84e28a34104aa_images.jpg,44544.jpg,85.0
1937,14659,Men,Apparel,Bottomwear,Trousers,Khaki,Fall,2011,Casual,Probase Men Solid LT.Khaki Trousers,http://assets.myntassets.com/v1/images/style/properties/1862d11e53911a6cf3552e31326b3639_images.jpg,14659.jpg,160.0
8264,34779,Women,Accessories,Bags,Handbags,White,Summer,2015,Casual,Be For Bag Women Pack of 3 Bag,http://assets.myntassets.com/v1/images/style/properties/4db82d9e67c95a1e60ef9548eb7d20e5_images.jpg,34779.jpg,220.0
4802,28636,Men,Footwear,Shoes,Sports Shoes,Black,Summer,2012,Casual,Nike Men The Overplay VI Black Shoes,http://assets.myntassets.com/v1/images/style/properties/5da2b93f195e7f411a75901776a48b71_images.jpg,28636.jpg,170.0
5416,45835,Women,Apparel,Topwear,Kurtas,Blue,Summer,2012,Ethnic,Vishudh Women Blue Kurta,http://assets.myntassets.com/v1/images/style/properties/4f86149c62a3d9aa7f1f404998e12641_images.jpg,45835.jpg,190.0
1858,27682,Women,Accessories,Bags,Handbags,Black,Winter,2015,Casual,Murcia Women Black Handbag,http://assets.myntassets.com/v1/images/style/properties/5210f474af6dc324c272e72af6a8a76a_images.jpg,27682.jpg,155.0
5641,35001,Women,Accessories,Stoles,Stoles,Beige,Summer,2012,Ethnic,Fabindia Women Printed Beige & Black Stole,http://assets.myntassets.com/v1/images/style/properties/Fabindia-Women-Printed-Beige---Black-Stole_2df5ac389c3b7c1da13c6e4c335b4359_images.jpg,35001.jpg,130.0
6117,53442,Women,Footwear,Flip Flops,Flip Flops,Blue,Summer,2012,Casual,ADIDAS Women Blue Flip Flops,http://assets.myntassets.com/v1/images/style/properties/Adidas-Women-Blue-Flip-Flops_3743febe503a549313f9a97045173265_images.jpg,53442.jpg,175.0
8619,29207,Men,Accessories,Socks,Socks,White,Summer,2013,Sports,Fila Men White Socks,http://assets.myntassets.com/v1/images/style/properties/6a931fdbd9230dce710c3a67bbd70d3a_images.jpg,29207.jpg,105.0
5049,48147,Women,Accessories,Wallets,Wallets,Brown,Winter,2016,Casual,Fossil Women Brown Wallet,http://assets.myntassets.com/v1/images/style/properties/afdf15f48dd77b1c50692333a26b8a02_images.jpg,48147.jpg,35.0
6407,5146,Women,Apparel,Topwear,Tshirts,White,Summer,2011,Casual,Wrangler Women's Photo Print White T-shirt,http://assets.myntassets.com/v1/images/style/properties/8baff06e153ee3d49cc3d79104e2cc31_images.jpg,5146.jpg,205.0
5841,46735,Men,Accessories,Watches,Watches,Black,Winter,2016,Casual,Timex Men Black Dial Watch,http://assets.myntassets.com/v1/images/style/properties/Timex-Men-Black-Watch_e62cc3ae0560d2c168afbd269c1a82bf_images.jpg,46735.jpg,55.0
5621,40099,Men,Apparel,Topwear,Tshirts,Grey,Summer,2012,Casual,ADIDAS Men Grey T-shirt,http://assets.myntassets.com/v1/images/style/properties/b42e99bea00efdbc1a9f9c3345c1ff26_images.jpg,40099.jpg,50.0
1797,36536,Women,Accessories,Bags,Handbags,Blue,Summer,2012,Casual,United Colors of Benetton Women Blue Sling Bag,http://assets.myntassets.com/v1/images/style/properties/807db6823952f20d542a75afda81ed53_images.jpg,36536.jpg,185.0
5130,25749,Men,Accessories,Belts,Belts,Charcoal,Winter,2015,Casual,Lino Perros Men Leather Charcoal Belt,http://assets.myntassets.com/v1/images/style/properties/ef5a5dd589aa41bb6f33368c09a79353_images.jpg,25749.jpg,215.0
2338,6449,Women,Footwear,Flip Flops,Flip Flops,Black,Summer,2011,Casual,Lotto Women's Cross Color Beige Black Flip Flop,http://assets.myntassets.com/v1/images/style/properties/60da15fbf50ec5d120d4abb342f11644_images.jpg,6449.jpg,195.0
4181,21783,Men,Accessories,Belts,Belts,Black,Fall,2011,Casual,Fossil Men Pierce Black Belt,http://assets.myntassets.com/v1/images/style/properties/a38851a2dc7ea9209dcab30529eaec55_images.jpg,21783.jpg,105.0
4450,46488,Men,Accessories,Watches,Watches,Black,Winter,2016,Casual,Timex Men Black Dial Chronograph Watch,http://assets.myntassets.com/v1/images/style/properties/Timex-Men-Black-Dial-Chronograph-Watch_f27f12ec2a4d8b9456057b54a7aa9052_images.jpg,46488.jpg,80.0
8043,2762,Men,Apparel,Topwear,Tshirts,Black,Summer,2011,Casual,Classic Polo Men's Plane Black T-shirt,http://assets.myntassets.com/v1/images/style/properties/cd4a4daa5cf6026f3ecfe2c486740dda_images.jpg,2762.jpg,205.0
1622,9054,Women,Footwear,Shoes,Sports Shoes,White,Fall,2011,Sports,ADIDAS Women Duramo 3 White Sports Shoes,http://assets.myntassets.com/v1/images/style/properties/aa9d54ae49bdc357115fff779ec6475e_images.jpg,9054.jpg,110.0
3614,54545,Women,Accessories,Bags,Handbags,Orange,Summer,2012,Casual,Lino Perros Women Orange Handbag,http://assets.myntassets.com/v1/images/style/properties/Lino-Perros-Women-Orange-Handbag_621ad6bad2ee901ef7ed951e82db4eec_images.jpg,54545.jpg,220.0
5100,7558,Men,Apparel,Topwear,Tshirts,Grey,Summer,2011,Sports,Nike Men's Sublimated Dark Grey T-shirt,http://assets.myntassets.com/v1/images/style/properties/b1d562e2d87fbf047d98230fb35b273c_images.jpg,7558.jpg,225.0
8232,49372,Men,Footwear,Shoes,Casual Shoes,Brown,Summer,2012,Casual,Vans Men Brown Casual Shoes,http://assets.myntassets.com/v1/images/style/properties/Vans-Men-Brown-Casual-Shoes_d51349390b670bdd5b78ed04ffc8d43f_images.jpg,49372.jpg,155.0
5855,38184,Women,Accessories,Eyewear,Sunglasses,Metallic,Winter,2016,Casual,Miami Blues Women Sunglasses,http://assets.myntassets.com/v1/images/style/properties/f54696c12e9f2a6c97375831ae016b94_images.jpg,38184.jpg,210.0
7103,9521,Men,Apparel,Topwear,Shirts,Blue,Fall,2011,Formal,John Miller Men Blue Striped Shirt,http://assets.myntassets.com/v1/images/style/properties/463866bed79383c25b029b1eb16fc867_images.jpg,9521.jpg,175.0
26,48311,Women,Accessories,Jewellery,Bracelet,Bronze,Winter,2012,Casual,Pitaraa Women Bronze Beaded Bracelet,http://assets.myntassets.com/v1/images/style/properties/Pitaraa-Women-Golden-Brass-Bead-Bracelet_179aa06939858b54e8e6c80fe12d94d5_images.jpg,48311.jpg,150.0
3640,54121,Women,Footwear,Shoes,Heels,Black,Winter,2012,Casual,Rocia Women Black Flats,http://assets.myntassets.com/v1/images/style/properties/9a61d89eaedfb7027fbccf03f9943945_images.jpg,54121.jpg,45.0
8826,16411,Men,Apparel,Topwear,Shirts,Navy Blue,Fall,2011,Casual,Levis Men Check Navy Blue Shirts,http://assets.myntassets.com/v1/images/style/properties/b48a8e7d4cc02eaca989c554fa5f0702_images.jpg,16411.jpg,215.0
6438,12420,Men,Footwear,Shoes,Casual Shoes,Black,Fall,2011,Casual,Timberland Men Casual Black Casual Shoes,http://assets.myntassets.com/v1/images/style/properties/666019210c9dd3b6d6ea06565c990e97_images.jpg,12420.jpg,190.0
745,41259,Men,Accessories,Wallets,Wallets,Brown,Summer,2012,Casual,Arrow Men Brown Leather Wallet,http://assets.myntassets.com/v1/image/style/properties/41259/Arrow-Men-Brown-Wallet_1_b251de97852a02a341c13ad721d5b8ce.jpg,41259.jpg,175.0
9331,41976,Girls,Apparel,Bottomwear,Capris,White,Summer,2012,Casual,Gini and Jony Girls White Pedal Pusher,http://assets.myntassets.com/v1/images/style/properties/4247c4e2995d8c399e41a03d39067a56_images.jpg,41976.jpg,165.0
7933,4237,Men,Apparel,Topwear,Tshirts,Red,Summer,2011,Casual,Probase Men's Big Sound Red Tshirt,http://assets.myntassets.com/v1/images/style/properties/ee0188847f7e573524dd803046400158_images.jpg,4237.jpg,175.0
610,40978,Boys,Apparel,Topwear,Tshirts,Red,Summer,2012,Casual,Gini and Jony Boys United Red T-shirt,http://assets.myntassets.com/v1/images/style/properties/4fb51b6af9daa7d7e7b37a54ee98d6a8_images.jpg,40978.jpg,140.0
1150,42883,Women,Accessories,Bags,Handbags,Black,Summer,2012,Casual,French Connection Women Black Sling Bag,http://assets.myntassets.com/v1/images/style/properties/23d345b573b95f6cd311d09ac3fdb462_images.jpg,42883.jpg,80.0
3275,21520,Women,Accessories,Bags,Handbags,Black,Winter,2015,Casual,Kiara Women Classic Black Handbag,http://assets.myntassets.com/v1/images/style/properties/7f6228f617c6f908ab6e597ef736cb42_images.jpg,21520.jpg,25.0
1117,13877,Men,Apparel,Topwear,Shirts,Maroon,Fall,2011,Casual,Scullers Men Solid Maroon Shirts,http://assets.myntassets.com/v1/images/style/properties/704ffb8c6c7bad843aaf5423eedc1b80_images.jpg,13877.jpg,150.0
2606,23648,Men,Apparel,Topwear,Tshirts,Maroon,Summer,2012,Casual,Disney Men Maroon Printed T-shirt,http://assets.myntassets.com/v1/images/style/properties/8f6d85c46ffabdb603f44e5afbed6ecd_images.jpg,23648.jpg,90.0
